epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2529.57,1.49278,2.46997,1.67411,0.36119,0.40349,0.3107,0.13309,1.88067,2.91037,2.19778,0.000554037,0.000554037,0.000554037
2,5958.6,1.66159,2.25862,1.80299,0.46786,0.44635,0.4181,0.18056,1.86483,2.44894,2.17858,0.00103646,0.00103646,0.00103646
3,7764.74,1.65648,2.10284,1.81504,0.56187,0.45978,0.48104,0.22806,1.76083,2.23468,2.06932,0.00144554,0.00144554,0.00144554
4,9499.17,1.62016,1.95722,1.76207,0.57814,0.54953,0.52851,0.24928,1.7304,2.01211,2.09232,0.00133693,0.00133693,0.00133693
5,11230.9,1.55966,1.82802,1.71425,0.61515,0.58643,0.61384,0.31672,1.66283,1.71932,1.95709,0.00122691,0.00122691,0.00122691
6,12946.8,1.51362,1.65963,1.79293,0.75029,0.59284,0.65027,0.35498,1.60837,1.5733,1.8786,0.00111689,0.00111689,0.00111689
7,14774.8,1.47018,1.53049,1.76303,0.80159,0.5822,0.67047,0.36763,1.51951,1.5117,1.85148,0.00100687,0.00100687,0.00100687
8,16533.4,1.41069,1.37617,1.70593,0.69882,0.63351,0.68233,0.39102,1.46927,1.46478,1.76307,0.000896846,0.000896846,0.000896846
9,18243.1,1.37018,1.32716,1.66387,0.75964,0.65603,0.71931,0.39921,1.44099,1.36407,1.73332,0.000786824,0.000786824,0.000786824
10,19947.2,1.31432,1.21885,1.60651,0.7523,0.66526,0.72993,0.41206,1.45103,1.2778,1.74754,0.000676802,0.000676802,0.000676802
11,21643.7,1.25436,1.13116,1.55579,0.77188,0.71764,0.77412,0.46268,1.3962,1.16448,1.67727,0.00056678,0.00056678,0.00056678
12,23337,1.21426,1.04403,1.50633,0.80483,0.70785,0.78159,0.47365,1.37509,1.14585,1.66535,0.000456758,0.000456758,0.000456758
13,25029.5,1.16194,0.98395,1.47005,0.85967,0.68697,0.79118,0.48569,1.32379,1.07236,1.62842,0.000346736,0.000346736,0.000346736
14,26722.9,1.1168,0.91392,1.43525,0.81552,0.72519,0.78892,0.50154,1.32146,1.03319,1.62475,0.000236714,0.000236714,0.000236714
15,28414.6,1.07365,0.85513,1.39149,0.84698,0.75117,0.8163,0.5177,1.29836,0.97577,1.60045,0.000126692,0.000126692,0.000126692
