carat,cut,color,clarity,depth,table,price,x,y,z,volume,dimension_ratio,carat_category,Cluster,price_usd,Segment
0.23,Ideal,E,SI2,61.5,55.0,5.7899601708972535,3.95,3.98,2.43,38.20203,1.6316872427983538,Light,1,326.0,Mid-Range Segment
0.21,Premium,E,SI1,59.8,61.0,5.7899601708972535,3.89,3.84,2.31,34.505856,1.6731601731601733,Light,3,326.0,Budget Segment
0.29,Premium,I,VS2,62.4,58.0,5.814130531825066,4.2,4.23,2.63,46.72458,1.602661596958175,Light,1,333.99999999999994,Mid-Range Segment
0.31,Good,J,SI2,63.3,58.0,5.817111159963204,4.34,4.35,2.75,51.91725,1.5799999999999998,Light,1,335.0,Mid-Range Segment
0.24,Very Good,J,VVS2,62.8,57.0,5.820082930352362,3.94,3.96,2.48,38.693952,1.592741935483871,Light,1,335.99999999999994,Mid-Range Segment
0.24,Very Good,I,VVS1,62.3,57.0,5.820082930352362,3.95,3.98,2.47,38.83087,1.6052631578947367,Light,1,335.99999999999994,Mid-Range Segment
0.26,Very Good,H,SI1,61.9,55.0,5.823045895483019,4.07,4.11,2.53,42.321081,1.616600790513834,Light,1,337.00000000000006,Mid-Range Segment
0.23,Very Good,H,VS1,59.4,61.0,5.82600010738045,4.0,4.05,2.39,38.718,1.684100418410042,Light,3,337.9999999999999,Budget Segment
0.3,Good,J,SI1,64.0,55.0,5.828945617610208,4.25,4.28,2.73,49.6587,1.5622710622710625,Light,1,339.00000000000045,Mid-Range Segment
0.23,Ideal,J,VS1,62.8,56.0,5.831882477283517,3.93,3.9,2.46,37.70442,1.5914634146341464,Light,1,340.00000000000006,Mid-Range Segment
0.22,Premium,F,SI1,60.4,61.0,5.83773044716594,3.88,3.84,2.33,34.715136,1.6566523605150214,Light,3,342.00000000000017,Budget Segment
0.31,Ideal,J,SI2,62.2,54.0,5.84354441703136,4.35,4.37,2.71,51.515745,1.6088560885608854,Light,1,344.00000000000017,Mid-Range Segment
0.2,Premium,E,SI2,60.2,62.0,5.846438775057725,3.79,3.75,2.27,32.262375,1.6607929515418502,Light,3,345.00000000000017,Budget Segment
0.32,Premium,E,I1,60.9,58.0,5.846438775057725,4.38,4.42,2.68,51.883728000000005,1.6417910447761197,Light,3,345.00000000000017,Budget Segment
0.3,Ideal,I,SI2,62.0,54.0,5.855071922202427,4.31,4.34,2.68,50.130472,1.6138059701492533,Light,1,347.99999999999994,Mid-Range Segment
0.3,Good,J,SI1,63.4,54.0,5.863631175598097,4.23,4.29,2.7,48.99609000000001,1.5777777777777775,Light,1,350.9999999999999,Mid-Range Segment
