Feature,Importance
carat,0.9388605871874619
clarity_SI2,0.011505367172269418
clarity_SI1,0.009455623135182493
depth,0.0051886710946251165
color_J,0.004999652132134111
color_I,0.004735003158003852
clarity_VS2,0.004058677916189515
color_H,0.0033827728181471403
clarity_VVS1,0.002659903941600164
table,0.0025148138708222167
clarity_IF,0.002317155356057815
clarity_VVS2,0.0020497719179185456
clarity_VS1,0.00201473777536567
color_G,0.0019673012025329508
cut_Ideal,0.001137740787710836
color_F,0.0008718927883811498
cut_Premium,0.0007300991803828193
cut_Very Good,0.0006146276954359096
color_E,0.0005672701262365851
cut_Good,0.00036833074354170075
