Feature,VIF
cut_Ideal,38.33477716684591
cut_Premium,29.521681651772766
cut_Very Good,27.4078378317823
clarity_SI1,19.52619222042168
clarity_VS2,18.94301337083447
clarity_VS1,14.349607354218694
clarity_SI2,14.14390827956559
cut_Good,11.496683977429983
clarity_VVS2,10.138819488927531
clarity_VVS1,8.013726878634433
clarity_IF,4.506864138989048
color_G,2.1619822405068794
color_E,1.992118053200628
color_F,1.9797633268777863
color_H,1.9019692741238803
table,1.7364166241374939
color_I,1.6349079483131095
depth,1.3678856299541535
color_J,1.3665757337521562
carat,1.3033995841006651
