Country,Child_Malnutrition,Adult_Malnutrition
Afghanistan,9.370140515151515,8.944780887878789
Africa,9.002042323232322,11.95165596969697
Albania,2.222397109090909,1.3199748827272728
Algeria,4.140587491919192,5.039567657575757
American Samoa,0.8836119376767677,0.27063824454545454
Americas Region,1.9431762323232324,2.2674179999999997
Andorra,2.2137680767676766,2.2662860848484847
Angola,6.86319215959596,10.517347715151516
Antigua and Barbuda,2.832702897979798,4.8111757181818176
Argentina,1.8694202262626263,1.723452103030303
Armenia,3.055476033333333,2.7799833272727272
Australia,1.388286835959596,1.496870613030303
Austria,1.9284329686868686,1.9429066196969695
Azerbaijan,4.326731143434343,2.375948257575758
Bahamas,3.515178182828283,3.3422550393939394
Bahrain,5.583127940404041,2.936438803030303
Bangladesh,18.46502185858586,17.58800693939394
Barbados,4.343682366666666,3.2853721212121214
Belarus,2.527458371717172,1.9296072272727274
Belgium,1.9776397282828284,1.68883658
Belize,2.8262590656565654,2.5297024333333336
Benin,5.9617786424242425,8.324022406060607
Bermuda,4.1311864262626266,4.521328175757575
Bhutan,6.771668698989899,4.574943893939394
"Bolivia, Plurinational State of",1.0820965894949495,1.9366729333333332
Bosnia and Herzegovina,3.3710465151515154,1.9431120406060607
Botswana,9.668603824242425,13.68183997878788
Brazil,2.5857925949494946,2.9840406424242425
Brunei Darussalam,3.6511845808080805,4.513806809090909
Bulgaria,3.187260121212121,2.5533087606060607
Burkina Faso,9.917855039393938,11.823691263636364
Burundi,7.775596203030303,15.69320103030303
Cabo Verde,8.991082386868687,5.8041306181818175
Cambodia,7.924289726262627,12.821074181818181
Cameroon,4.667812733333333,6.367896233333333
Canada,1.3732446062626262,1.6785289545454545
Central African Republic,8.020119274747476,21.417275727272727
Chad,9.583073032323233,16.677465515151514
Chile,0.842754437979798,0.7756296727272727
China,4.06757612020202,5.076393078787879
Colombia,2.034560401010101,2.9205091181818186
Comoros,6.0336697282828275,6.8156346
Congo,7.265708251515152,14.001687848484849
"Congo, The Democratic Republic of the",7.421587958585859,14.949296212121212
Cook Islands,0.8345103041414141,0.5067687239393939
Costa Rica,2.432363508080808,2.3225231454545456
Croatia,1.7134476111111112,1.549802866060606
Cuba,5.942938348484848,4.77402993939394
Cyprus,2.6985021797979796,1.7937627072727274
Czechia,3.0188175343434347,1.3072552584848485
Côte d'Ivoire,6.659255616161616,8.091987506060606
Denmark,2.0397604565656566,2.0476124160606064
Djibouti,7.063908596969696,12.923730363636363
Dominica,3.3240553383838383,4.709354666666667
Dominican Republic,4.773256214141414,4.639889445454545
Eastern Mediterranean Region,10.906534171717173,7.021706515151515
Ecuador,1.9913847636363637,1.6368564848484848
Egypt,3.094521461616161,1.561520769090909
El Salvador,2.647758011111111,2.7527962363636362
Equatorial Guinea,7.995746722222222,9.393577706060606
Eritrea,12.100630646464646,33.58813896969697
Estonia,1.788099083838384,1.6172601281818182
Eswatini,3.511775890909091,4.304429615151515
Ethiopia,14.934164724242425,24.766816757575757
Europe,2.688846373737374,2.1157614545454546
Fiji,5.535154578787878,4.365833733333333
Finland,1.5533870931313132,1.1573197472727272
France,2.9513771595959595,3.5360716303030304
French Polynesia,1.5028003292929293,1.3643643890909092
Gabon,5.711606176767677,7.388436445454546
Gambia,10.009063734343435,12.566254818181818
Georgia,2.7435384444444444,2.4950996151515152
Germany,1.5397612004040404,1.2877584400000002
Ghana,8.233598574747475,6.9258734242424245
Global,10.241666545454546,8.302459727272728
Greece,1.2700815558585858,1.2751741966666665
Greenland,1.1232558269696968,2.46207076969697
Grenada,4.129505471717172,4.325002281818182
Guatemala,1.6190998057575758,2.378006290909091
Guinea,7.861410355555556,10.593938427272727
Guinea-Bissau,7.532680185858586,9.889847348484848
Guyana,7.555274286868687,7.615302972727273
Haiti,4.133393487878788,13.248045090909091
