session_id,session_duration,pages_visited,domain_switches,category_switches,complexity,engagement,dominant_category
1,258.492123,3,1,0,5,medium,other
2,610.91831,9,0,0,9,medium,other
3,1.0,1,0,0,1,low,shopping
4,1.571508,2,0,0,2,low,other
5,1.0,1,0,0,1,low,other
6,734.36447,27,12,3,57,high,search
7,626.23133,37,21,18,115,high,search
8,97.596344,3,1,0,5,medium,other
9,60.478387,13,5,0,23,high,search
10,8.458568,5,0,0,5,medium,search
11,28.338859,7,2,0,11,medium,search
12,213.502393,3,0,0,3,low,search
13,1054.892049,4,0,0,4,low,other
14,250.630235,24,12,6,60,high,other
15,9.360406,3,2,0,7,medium,other
16,10.830595,8,3,0,14,medium,other
17,17.971201,9,3,0,15,high,other
18,194.096622,4,2,1,10,medium,other
19,55.233783,14,4,4,30,high,learning
20,1.0,1,0,0,1,low,other
21,8.465632,3,0,0,3,low,search
22,31.031382,3,2,0,7,medium,other
23,123.994814,5,0,0,5,medium,other
24,1.0,1,0,0,1,low,other
25,142.666406,4,0,0,4,low,other
26,1.0,1,0,0,1,low,other
27,1.0,1,0,0,1,low,other
28,15.791363,3,2,1,9,medium,other
29,223.767854,3,1,0,5,medium,other
30,35.645368,2,0,0,2,low,search
31,1.0,1,0,0,1,low,search
32,119.159957,6,0,0,6,medium,search
33,1071.43437,11,3,0,17,high,other
34,37.920857,3,2,0,7,medium,other
35,1.0,1,0,0,1,low,search
36,165.36165,5,3,2,15,high,other
37,2947.020593,36,5,5,56,high,other
38,1.0,1,0,0,1,low,other
39,54.904288,7,1,0,9,medium,other
40,72.791466,6,1,0,8,medium,other
41,66.148211,2,0,0,2,low,other
42,740.337724,5,1,1,9,medium,other
43,1.0,1,0,0,1,low,other
44,1.0,1,0,0,1,low,other
45,345.051663,6,0,0,6,medium,other
46,1.0,1,0,0,1,low,shopping
47,1.0,1,0,0,1,low,search
48,1.0,1,0,0,1,low,other
49,1.0,1,0,0,1,low,other
50,1.0,1,0,0,1,low,other
51,1.0,1,0,0,1,low,other
52,1.0,1,0,0,1,low,other
53,46.71454,4,1,1,8,medium,search
54,1.0,1,0,0,1,low,search
55,1.0,1,0,0,1,low,other
56,2.169995,2,0,0,2,low,search
57,1.0,1,0,0,1,low,search
58,6.911374,6,1,1,10,medium,search
59,1715.608492,35,7,0,49,high,search
60,1.0,3,1,1,7,medium,search
61,1.0,1,0,0,1,low,other
62,2348.119522,23,7,2,41,high,search
63,1760.202533,14,7,3,34,high,search
64,17.842192,2,0,0,2,low,search
65,9.49925,8,0,0,8,medium,search
66,1.0,1,0,0,1,low,other
67,1.0,1,0,0,1,low,search
68,1.0,1,0,0,1,low,search
69,204.875296,2,0,0,2,low,search
70,1.0,1,0,0,1,low,search
71,1.0,1,0,0,1,low,other
72,2354.532182,51,17,8,101,high,search
73,3161.458832,61,17,9,113,high,search
74,925.115684,7,5,2,21,high,search
75,139.681278,7,1,1,11,medium,other
76,73.550893,2,0,0,2,low,other
77,1.0,1,0,0,1,low,other
78,3.604349,2,1,1,6,medium,other
79,43.717691,3,2,0,7,medium,other
80,6.790525,3,0,0,3,low,search
81,265.448735,8,2,1,14,medium,search
82,22.319508,4,1,1,8,medium,other
83,748.851908,6,3,1,14,medium,other
84,112.199848,3,0,0,3,low,other
85,1.0,1,0,0,1,low,other
86,146.514484,4,2,0,8,medium,search
87,1.0,1,0,0,1,low,search
88,833.496357,11,2,0,15,high,other
89,488.517435,8,0,0,8,medium,other
90,654.450273,6,4,3,20,high,other
91,4.506744,2,0,0,2,low,search
92,143.799859,5,0,0,5,medium,learning
93,1.0,1,0,0,1,low,other
94,317.374383,3,1,1,7,medium,other
95,1.0,1,0,0,1,low,search
96,1109.614066,7,3,2,17,high,search
97,2260.44683,9,2,1,15,high,search
98,2176.347362,11,0,0,11,medium,search
99,73.349988,4,3,0,10,medium,other
100,207.429685,16,2,2,24,high,search
101,69.813045,4,1,0,6,medium,other
102,73.295929,2,0,0,2,low,other
103,1.0,1,0,0,1,low,other
104,665.432265,7,2,1,13,medium,search
105,47.559676,3,2,0,7,medium,search
106,1.0,1,0,0,1,low,search
107,1.0,1,0,0,1,low,other
108,11.081974,3,1,0,5,medium,search
109,1.805403,3,0,0,3,low,search
110,1.0,1,0,0,1,low,other
111,1.0,1,0,0,1,low,other
112,7.325255,3,2,0,7,medium,other
113,120.350102,4,2,0,8,medium,other
114,242.053078,9,6,4,29,high,other
115,45.373265,3,2,0,7,medium,other
116,138.213076,2,0,0,2,low,search
117,127.628506,6,0,0,6,medium,other
118,154.140181,14,1,1,18,high,search
119,17.571242,2,0,0,2,low,other
120,1.499143,2,0,0,2,low,search
121,314.281855,4,0,0,4,low,search
122,430.235704,7,3,0,13,medium,other
123,828.869081,4,1,0,6,medium,other
124,1.0,1,0,0,1,low,search
125,1.0,1,0,0,1,low,other
126,56.88496,4,3,0,10,medium,other
127,1.0,1,0,0,1,low,other
128,108.509824,7,2,2,15,high,other
129,1.0,1,0,0,1,low,other
130,1.0,1,0,0,1,low,other
131,4.075917,3,1,1,7,medium,search
132,104.063306,15,12,9,57,high,other
133,18.123737,2,0,0,2,low,other
134,42.231543,3,1,0,5,medium,other
135,1.0,1,0,0,1,low,other
136,13.756247,5,2,0,9,medium,other
137,4.472018,2,0,0,2,low,search
138,16.913609,8,0,0,8,medium,search
139,3963.527614,47,1,0,49,high,search
140,1635.333886,13,10,7,47,high,other
141,467.066593,4,2,1,10,medium,search
142,111.649389,5,3,0,11,medium,other
143,1463.672246,26,10,9,64,high,search
144,1101.320658,10,4,2,22,high,search
145,883.611504,14,3,2,24,high,other
146,29.202042,3,2,0,7,medium,other
147,1.0,1,0,0,1,low,search
148,3733.169418,79,46,11,193,high,other
149,1.0,1,0,0,1,low,other
150,84.675681,6,3,0,12,medium,other
151,1.0,2,0,0,2,low,search
152,428.298953,16,11,9,56,high,other
153,33.858254,19,6,5,41,high,work
154,5.786642,2,0,0,2,low,search
155,51.095377,10,1,1,14,medium,search
156,8.17778,3,1,1,7,medium,search
157,470.969392,19,10,3,45,high,other
158,261.393918,8,2,1,14,medium,other
159,1.0,2,0,0,2,low,search
160,560.510217,10,2,2,18,high,search
161,630.906887,13,1,1,17,high,search
162,32.887703,2,0,0,2,low,search
163,1.0,1,0,0,1,low,search
164,403.152716,7,1,1,11,medium,other
165,337.430951,12,1,1,16,high,search
166,1.0,1,0,0,1,low,search
167,2650.30904,60,30,9,138,high,other
168,1.0,1,0,0,1,low,search
169,991.397244,19,7,5,43,high,search
170,208.560965,28,0,0,28,high,search
171,207.519119,2,1,1,6,medium,other
172,45.955478,4,3,1,12,medium,other
173,1516.803623,29,13,4,63,high,other
174,1104.708175,14,7,5,38,high,other
175,639.042695,17,10,8,53,high,search
176,393.070513,13,2,2,21,high,search
177,468.11091,13,6,6,37,high,search
178,1400.590283,16,2,2,24,high,search
