session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,anomaly_score,is_anomaly
1,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
2,94.740797,8,5,6,5,19,7595.44,7595.44,58.6,949.43,1519.088,1085.0628571428572,19,0.5131163738274345,False
3,9.561719,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,0.004635462297583217,False
4,1012.482342,22,7,13,11,46,7595.44,7595.44,58.6,345.2472727272728,1085.0628571428572,542.5314285714286,46,0.9741563637110977,True
5,769.985649,7,3,3,3,13,7595.44,7595.44,58.6,1085.0628571428572,2531.813333333333,1898.86,13,0.123070339249683,False
6,23.690946,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.008546564291870723,False
7,23.187513,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.008573732799177707,False
8,63.237668,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,0.004926002337390665,False
9,18.687605,4,1,0,0,4,7595.44,7595.44,58.6,1898.86,7595.44,7595.44,4,0.011683763365625538,False
10,7.542366,4,2,1,1,6,7595.44,7595.44,58.6,1898.86,3797.72,3797.72,6,0.01593472195594093,False
11,30.626098,3,2,2,2,7,7595.44,7595.44,58.6,2531.813333333333,3797.72,2531.813333333333,7,0.03844454012662201,False
12,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
13,0.0,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.00989646072735617,False
14,49.596423,3,2,1,1,5,7595.44,7595.44,58.6,2531.813333333333,3797.72,3797.72,5,0.018760770037036082,False
15,356.386529,3,3,2,2,7,7595.44,7595.44,58.6,2531.813333333333,2531.813333333333,2531.813333333333,7,0.10829046304026427,False
16,161.07738,5,3,3,3,11,7595.44,7595.44,58.6,1519.088,2531.813333333333,1898.86,11,0.09839117035079123,False
17,139.032416,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,0.006548403666924946,False
18,1594.926193,19,3,3,0,22,7595.44,7595.44,58.6,399.76,2531.813333333333,1898.86,22,0.1538116592906882,False
19,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
20,870.026453,7,2,2,2,11,7595.44,7595.44,58.6,1085.0628571428572,3797.72,2531.813333333333,11,0.10217997595144394,False
21,118.076068,10,1,0,0,10,7595.44,7595.44,58.6,759.544,7595.44,7595.44,10,0.051529995422901646,False
22,0.051584,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.009893362419217691,False
23,163.816482,7,1,0,0,7,7595.44,7595.44,58.6,1085.0628571428572,7595.44,7595.44,7,0.03860581225372618,False
24,12.326561,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,0.004633040541099293,False
25,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
26,0.027107,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.009894832543366655,False
27,3268.50861,33,9,16,11,60,7595.44,7595.44,58.6,230.16484848484848,843.9377777777777,446.7905882352941,60,0.985178742462893,True
28,121.966053,7,1,0,0,7,7595.44,7595.44,58.6,1085.0628571428572,7595.44,7595.44,7,0.03515186940487998,False
29,13.169747,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.009128072165700581,False
30,44.781147,5,3,2,1,8,7595.44,7595.44,58.6,1519.088,2531.813333333333,2531.813333333333,8,0.08338805091699754,False
31,230.103453,8,2,1,1,10,7595.44,7595.44,58.6,949.43,3797.72,3797.72,10,0.021985010129348947,False
32,910.62558,5,3,2,1,8,7595.44,7595.44,58.6,1519.088,2531.813333333333,2531.813333333333,8,0.1566642119095356,False
33,1593.861133,3,2,1,1,5,7595.44,7595.44,58.6,2531.813333333333,3797.72,3797.72,5,0.22171056848338658,False
34,1.491741,3,2,1,1,5,7595.44,7595.44,58.6,2531.813333333333,3797.72,3797.72,5,0.01985395503047865,False
35,185.152801,4,2,1,1,6,7595.44,7595.44,58.6,1898.86,3797.72,3797.72,6,0.018633219463823292,False
36,955.297981,25,5,10,10,45,7595.44,7595.44,58.6,303.8176,1519.088,690.4945454545455,45,0.2999370824113416,False
37,21.188791,4,1,0,0,4,7595.44,7595.44,58.6,1898.86,7595.44,7595.44,4,0.011751829769863347,False
38,26.961887,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,0.004651680694978467,False
39,1886.70869,32,5,7,5,44,7595.44,7595.44,58.6,237.3575,1519.088,949.43,44,0.074449688235674,False
40,1671.200692,9,2,2,2,13,7595.439999999999,7595.44,58.6,843.9377777777777,3797.7199999999993,2531.813333333333,13,0.28225865998589167,False
41,389.687556,4,1,0,0,4,7595.44,7595.44,58.6,1898.86,7595.44,7595.44,4,0.03866615354941684,False
42,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
