session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,cluster
1,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
2,94.740797,8,5,6,5,19,7595.44,7595.44,58.6,949.43,1519.088,1085.0628571428572,19,0
3,9.561719,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,2
4,1012.482342,22,7,13,11,46,7595.44,7595.44,58.6,345.2472727272728,1085.0628571428572,542.5314285714286,46,0
5,769.985649,7,3,3,3,13,7595.44,7595.44,58.6,1085.0628571428572,2531.813333333333,1898.86,13,0
6,23.690946,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
7,23.187513,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
8,63.237668,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,2
9,18.687605,4,1,0,0,4,7595.44,7595.44,58.6,1898.86,7595.44,7595.44,4,2
10,7.542366,4,2,1,1,6,7595.44,7595.44,58.6,1898.86,3797.72,3797.72,6,2
11,30.626098,3,2,2,2,7,7595.44,7595.44,58.6,2531.813333333333,3797.72,2531.813333333333,7,2
12,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
13,0.0,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,2
14,49.596423,3,2,1,1,5,7595.44,7595.44,58.6,2531.813333333333,3797.72,3797.72,5,2
15,356.386529,3,3,2,2,7,7595.44,7595.44,58.6,2531.813333333333,2531.813333333333,2531.813333333333,7,2
16,161.07738,5,3,3,3,11,7595.44,7595.44,58.6,1519.088,2531.813333333333,1898.86,11,2
17,139.032416,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,2
18,1594.926193,19,3,3,0,22,7595.44,7595.44,58.6,399.76,2531.813333333333,1898.86,22,0
19,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
