session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,ram_per_page,ram_per_domain,ram_per_switch,session_intensity
1,0.0,1,1,0,0,1,5869.61,5869.61,5869.61,5869.61,5869.61,1
2,1215.430493,9,4,4,3,16,5869.61,5869.61,652.1788888888889,1467.4025,1173.922,16
3,867.971857,2,1,0,0,2,5869.61,5869.61,2934.805,5869.61,5869.61,2
4,544.568941,2,1,0,0,2,5869.61,5869.61,2934.805,5869.61,5869.61,2
5,34.040689,2,1,0,0,2,5869.61,5869.61,2934.805,5869.61,5869.61,2
6,0.0,1,1,0,0,1,5869.61,5869.61,5869.61,5869.61,5869.61,1
7,60.308251,5,2,1,1,7,5869.61,5869.61,1173.922,2934.805,2934.805,7
8,319.496849,5,2,1,1,7,5869.61,5869.61,1173.922,2934.805,2934.805,7
9,81.330253,4,1,0,0,4,5869.61,5869.61,1467.4025,5869.61,5869.61,4
10,765.922334,8,1,0,0,8,5869.61,5869.61,733.70125,5869.61,5869.61,8
11,2.5328,3,1,0,0,3,5869.61,5869.61,1956.5366666666666,5869.61,5869.61,3
12,117.145937,4,2,1,1,6,5869.61,5869.61,1467.4025,2934.805,2934.805,6
13,17.230254,5,2,1,1,7,5869.61,5869.61,1173.922,2934.805,2934.805,7
14,0.0,1,1,0,0,1,5869.61,5869.61,5869.61,5869.61,5869.61,1
15,111.168969,3,2,2,2,7,5869.61,5869.61,1956.5366666666666,2934.805,1956.5366666666666,7
16,5.463986,4,1,0,0,4,5869.61,5869.61,1467.4025,5869.61,5869.61,4
17,405.956571,7,3,3,2,12,5869.61,5869.61,838.5157142857142,1956.5366666666666,1467.4025,12
18,1113.760635,55,10,20,14,89,5869.61,5869.61,106.72018181818181,586.961,279.5052380952381,89
19,621.826878,26,6,9,9,44,5869.61,5869.61,225.75423076923076,978.2683333333333,586.961,44
20,2091.357021,20,5,6,5,31,5869.61,5869.61,293.4805,1173.922,838.5157142857142,31
21,0.0,1,1,0,0,1,5869.61,5869.61,5869.61,5869.61,5869.61,1
